Sn1,Sn2,Sn3,Sn4,Sn5,Sn6,Sn7,Sn8,Sn9,Sn10,Tt,dloc,ED,overload_loc
-0.000183275,9.4e-05,0.000387314,0.000112043,-0.000165379,0.000483082,0.000205375,-7.03e-05,0.000189431,0.000466959,34.06736643,96,7,0
-0.000110378,7.407e-05,0.00021110200000000004,7.697999999999997e-05,-0.000125711,0.00030330699999999995,0.00012588999999999998,-3.71e-05,0.000143001,0.00034577000000000007,25.93263357,7,9,0
-0.000203792,0.000104887,0.000435328,0.000120316,-0.000188858,0.0005359,0.000226702,-7.929999999999999e-05,0.000211263,0.000520007,37.43144825,83,9,0
-6.613100000000001e-05,4.363e-05,0.00012136,5.5223e-05,-9.985e-05,0.00020506900000000002,9.5451e-05,-2.27e-05,0.000109319,0.00026441,20.48943484,54,8,0
-0.00020381,0.000104904,0.00043511,0.000120669,-0.000188396,0.0005359,0.000226667,-7.94e-05,0.000211062,0.000519946,37.43144825,92,4,0
-0.000218417,0.000112853,0.000467267,0.000129673,-0.000201937,0.000575235,0.000243403,-8.51e-05,0.000226706,0.000558198,39.94521895,92,3,0
-0.00017266900000000002,8.78e-05,0.000366658,0.000100954,-0.000159747,0.0004521730000000001,0.00019123,-6.7e-05,0.000178155,0.000438914,32.07911691,38,4,0
-4.0167999999999985e-05,7.63e-05,4.6948000000000005e-05,6.780999999999999e-05,-0.000116072,0.00019867599999999998,7.1246e-05,-3.600000000000006e-06,0.00013693,0.000316981,24.12214748,87,8,0
-1.3879000000000006e-05,6.633999999999999e-05,7.208399999999997e-05,6.922999999999999e-05,-0.000116056,0.000141323,8.445299999999999e-05,-1.3500000000000005e-05,0.000133264,0.00031860600000000003,24.12214748,57,8,0
-0.00012667,6.3e-05,0.000267722,7.25e-05,-0.000117311,0.000327658,0.000137722,-4.96e-05,0.000128233,0.00031804,24.12214748,46,6,0
-0.000102008,4.9700000000000015e-05,0.000208891,6.12e-05,-9.07e-05,0.000263848,0.000111911,-3.92e-05,0.000102389,0.000254255,20.05478105,90,7,0
-0.000103139,5.01e-05,0.000214005,5.78e-05,-9.55e-05,0.00026405,0.000110628,-4.120000000000001e-05,0.000102949,0.000256316,20.05478105,93,8,0
